"roll_call_id","bill_id","session","roll_call_date","roll_call_desc","yea","nay","nv","absent","n_total","passed","roll_call_chamber","bill_title","bill_number","session_year","bill_url","pct_of_total","n_present","pct_of_present","final_vote","R_pct_of_present","D_pct_of_present","rc_unity_D","rc_unity_R","rc_mean_partisanship"
1475155,1942322,"2025-2025_2nd_Special_Session","2025-01-27","House Select Committee on Illegal Immigration B",24,8,0,0,32,1,"H","Immigration","H0001",2025,"https://legiscan.com/FL/bill/H0001/2025/X2",0.75,32,0.75,"N",1,0,1,1,1
1475156,1942322,"2025-2025_2nd_Special_Session","2025-01-27","House Select Committee on Illegal Immigration C",24,6,0,2,32,1,"H","Immigration","H0001",2025,"https://legiscan.com/FL/bill/H0001/2025/X2",0.75,30,0.8,"N",1,0,1,1,1
1475196,1942320,"2025-2025_2nd_Special_Session","2025-01-27","Senate Appropriations",12,6,0,1,19,1,"S","Immigration","S0002",2025,"https://legiscan.com/FL/bill/S0002/2025/X2",0.631578947368421,18,0.666666666666667,"N",1,0,1,1,1
1475197,1942322,"2025-2025_2nd_Special_Session","2025-01-27","House Select Committee on Illegal Immigration A",24,7,0,1,32,1,"H","Immigration","H0001",2025,"https://legiscan.com/FL/bill/H0001/2025/X2",0.75,31,0.774193548387097,"N",1,0,1,1,1
1475915,1942320,"2025-2025_2nd_Special_Session","2025-01-28","Senate: Third Reading RCS#2",13,24,0,3,40,0,"S","Immigration","S0002",2025,"https://legiscan.com/FL/bill/S0002/2025/X2",0.325,37,0.351351351351351,"Y",0.111111111111111,1,1,0.888888888888889,0.918918918918919
1475916,1942320,"2025-2025_2nd_Special_Session","2025-01-28","Senate: Third Reading RCS#3",21,16,0,3,40,1,"S","Immigration","S0002",2025,"https://legiscan.com/FL/bill/S0002/2025/X2",0.525,37,0.567567567567568,"Y",0.777777777777778,0,1,0.777777777777778,0.837837837837838
1475919,1942320,"2025-2025_2nd_Special_Session","2025-01-28","House: Third Reading RCS#6",82,30,7,0,119,1,"H","Immigration","S0002",2025,"https://legiscan.com/FL/bill/S0002/2025/X2",0.689075630252101,112,0.732142857142857,"Y",0.987951807228916,0,1,0.987951807228916,0.991071428571429
1487331,1964470,"2025-2025_3rd_Special_Session","2025-02-12","Senate Appropriations",14,4,0,1,19,1,"S","Secretary of Homeland Security","S0006",2025,"https://legiscan.com/FL/bill/S0006/2025/X3",0.736842105263158,18,0.777777777777778,"N",1,0.333333333333333,0.666666666666667,1,0.888888888888889
1487334,1964468,"2025-2025_3rd_Special_Session","2025-02-12","Senate Appropriations",11,7,0,1,19,1,"S","Immigration","S0004",2025,"https://legiscan.com/FL/bill/S0004/2025/X3",0.578947368421053,18,0.611111111111111,"N",0.916666666666667,0,1,0.916666666666667,0.944444444444444
1487378,1964471,"2025-2025_3rd_Special_Session","2025-02-12","House Budget Committee",22,8,0,1,31,1,"H","Immigration","H0001",2025,"https://legiscan.com/FL/bill/H0001/2025/X3",0.709677419354839,30,0.733333333333333,"N",1,0,1,1,1
