"party","roll_call_id","party_pct_of_present","n_present"
"R",1389924,NA,0
"R",1395037,NA,0
"R",1395280,NA,0
"R",1158993,NA,0
"R",1281672,NA,0
"R",1292085,NA,0
"R",1370883,NA,0
"R",1275695,NA,0
"R",1292068,NA,0
"R",1127737,NA,0
"D",1158993,NA,0
"D",1389924,NA,0
"D",1395037,NA,0
"D",1395280,NA,0
"R",1509081,NA,0
"D",1127737,NA,0
"D",1275695,NA,0
"D",1281672,NA,0
"D",1292068,NA,0
"D",1292085,NA,0
"D",1370883,NA,0
"D",1379275,NA,0
"D",1362477,NA,0
"D",1362520,NA,0
"D",1362749,NA,0
"D",1364485,NA,0
"D",1509081,NA,0
"D",1513845,NA,0
"D",1513979,NA,0
"D",1520020,NA,0
